instance,seed,family,K,n,p_edge,graph_seed,outer,inner,L,budget_evals,readout_shots,J_star,evals_final_ID,evals_final_FD,bestS_final_ID,bestS_final_FD,mode_final_ID,mode_final_FD,bestS_auc_ID,bestS_auc_FD,mode_auc_ID,mode_auc_FD
15,16,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,77.79489195306046,1984.0,1953.0,1.0,0.8064375809769205,0.9844542473153995,0.7422127796891109,0.9197708433554869,0.7791858129145272,0.8379197959940344,0.6678201793327587
16,17,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,56.27467889859924,1984.0,1953.0,0.8690120776464386,0.848050062256905,0.7780859223546315,0.7778438213220831,0.8680313882279622,0.8426920611884358,0.7673199124208777,0.7314382272643358
17,18,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,68.22631597607793,1984.0,1953.0,0.9999964823392143,0.9999898550224425,0.9472442226562803,0.8642850416808487,0.9955612905362817,0.9724967053617648,0.9226027005619332,0.8231660310569665
18,19,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,67.19134559314905,1984.0,1953.0,1.0,0.8403561207649904,0.8837563409615471,0.7229738130304514,0.908462499857517,0.7741912468095925,0.8117346051242643,0.6587337417193857
19,20,quadratic,nan,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,58.43599165029844,1984.0,1953.0,0.9385003687629917,0.9401906128057593,0.873975639694359,0.7642590817912149,0.9376544857428292,0.9346690881464137,0.8190703117757742,0.7991405709050186
0,1,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,63.34650526641124,1984.0,1953.0,0.8519467931802469,0.8471196443485937,0.8178750538185543,0.6810005134162826,0.8404943036879684,0.836772419342874,0.7837501736277747,0.7008784403799329
1,2,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,63.25385882263329,1984.0,1953.0,0.9947567835836373,0.9947567835836373,0.8743937781706879,0.8585808563246219,0.9942476409419391,0.9931529842622868,0.893946921053423,0.8854829332684035
2,3,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,55.41009857108727,1984.0,1953.0,0.9603664630203184,0.9641947199622516,0.9156494095024715,0.9378737912372961,0.9580425222712385,0.9528571203804838,0.9128390075140677,0.8809673380942665
3,4,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,70.81336478284905,1984.0,1953.0,0.8827603543972156,0.8827603543972156,0.821849413496433,0.8460097411161656,0.8827603543972014,0.8827603543971716,0.8282038986326827,0.8263160900439045
4,5,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,59.93291766035705,1984.0,1953.0,0.9595043551422364,0.9517075473165139,0.9212189054319405,0.9515166448135186,0.9577009686945643,0.9430987072141004,0.9192795095749025,0.868092808602911
5,6,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,55.23415467247824,1984.0,1953.0,0.9366601056272735,0.9030251305266895,0.894594335924443,0.7457005241251835,0.9236617484132476,0.9030251305266446,0.8520660287463774,0.7505228014821784
6,7,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,59.57906120070327,1984.0,1953.0,0.9998141682527927,0.9999987683184159,0.9259678598229926,0.9150187177870498,0.999205344096214,0.9981281184374272,0.880482537191854,0.8245810953373248
7,8,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,48.72508639348093,1984.0,1953.0,0.8993658066993012,0.896652836052141,0.8835982653767838,0.8834713699040911,0.8954924956794931,0.8805371570563353,0.853507791440439,0.7713558259368868
8,9,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,67.33335123009367,1984.0,1953.0,0.9999466529859634,0.9954912065327693,0.8778843783844046,0.8534720330251163,0.979491859675087,0.9201325052445812,0.8714769842633024,0.8119626411491587
9,10,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,60.80430066195095,1984.0,1953.0,0.9311487168566606,0.9338624912630056,0.8888994060849925,0.8733469157872197,0.9084228066139112,0.9154124529410769,0.8465431636231592,0.8020115340981824
10,11,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,67.70053231256904,1984.0,1953.0,0.91798265451704,0.9179399679935364,0.8722883646048782,0.8861967921067802,0.9107964700160927,0.9107267993874352,0.8791006266484952,0.8444275968997319
11,12,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,62.64571255777597,1984.0,1953.0,0.9216367090034772,0.9229821190247974,0.825470300390148,0.7737135732617293,0.91820476205381,0.9119865482956668,0.8514726779014878,0.8312304284289745
12,13,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,60.299401523446925,1984.0,1953.0,0.9284855769685864,0.9096361513361307,0.8485324800439735,0.7251055073353717,0.9277562799469886,0.9055486564522071,0.8572043212033821,0.8299000502583419
13,14,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,62.41746781265998,1984.0,1953.0,0.9895752541546086,0.9834178648718906,0.9857913959125839,0.9640993435700649,0.9755948957770955,0.9726859093212553,0.9248843809468371,0.8991099947094822
14,15,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,61.0558089549203,1984.0,1953.0,0.9737283571331297,0.9737299678005338,0.9720702093349485,0.9045004720317712,0.9696527956929489,0.9584422450980898,0.8973905200218557,0.8386550733262781
15,16,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,71.32546244369591,1984.0,1953.0,0.9298719304026304,0.9082925383958574,0.8155937898622297,0.814258401204985,0.9200294200321736,0.8985791181138153,0.8394181419969088,0.8048268325174774
16,17,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,53.02492361686831,1984.0,1953.0,1.0000342614590128,1.0000340565945454,0.9698667816699189,0.9702815408451188,0.9925474908125137,0.9778175026137484,0.9276860101169672,0.8506573818215895
17,18,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,69.20183156828604,1984.0,1953.0,0.9307218540297973,0.9485377176533082,0.8804978005564664,0.8731332548579096,0.9297566237829984,0.9302650583724054,0.8560185041788879,0.8232229394968992
18,19,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,58.67411261912875,1984.0,1953.0,0.9870009515418301,0.9864934468962908,0.986902948371748,0.8363442391900605,0.9810956378249273,0.9763681111801973,0.8728356499813215,0.8549329621543884
19,20,periodic,6.0,12.0,0.45,7.0,100.0,10.0,2.0,2000.0,128.0,62.35375887574064,1984.0,1953.0,0.978465031875821,0.978615765126239,0.978465031875821,0.9752086016044889,0.9726331051898304,0.9642524504179603,0.9082094755053155,0.8669184502406548
