graph_class,n,p,seed,graph_seed,m_edges,kind,periodic_K,lam0,lam_star_grid,J_star_grid,budget_evals,inner,outer_max,L_vqe,eta0,eta_pow,step_clip,fd_c_frac,auc_id,auc_fd,delta_auc,final_id,final_fd,delta_final
ring,12,0.2,2,7,12,periodic,6,0.8,-1.0333333333333332,33.43246021304746,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8495225964848739,0.7454505710792476,0.10407202540562632,0.9473033014692894,0.8319091053974678,0.11539419607182166
ring,12,0.2,3,7,12,periodic,6,0.8,-0.6333333333333337,34.477816582875484,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8248136261181491,0.8017286143258262,0.023085011792322918,0.8982043246762682,0.8977786198383907,0.00042570483787751634
ring,12,0.35,1,7,24,periodic,6,0.8,-4.233333333333333,51.08207042082441,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8014088032534464,0.7879481804379921,0.013460622815454348,0.8631497924776564,0.9003970544545774,-0.037247261976920965
ring,12,0.35,2,7,24,periodic,6,0.8,-1.6,47.754995320147636,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8061501746807298,0.7540052977447499,0.05214487693597991,0.8639909882106545,0.839830076246213,0.024160911964441478
ring,12,0.35,3,7,24,periodic,6,0.8,0.43333333333333357,50.5943090786599,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8712950644129193,0.7675717658440611,0.1037232985688582,0.9305207804800408,0.8589501355252518,0.07157064495478904
ring,12,0.5,1,7,36,periodic,6,0.8,4.866666666666667,70.99204660450485,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8172624376183797,0.8357949635918708,-0.018532525973491087,0.8792195665877116,0.9267445922597828,-0.047525025672071175
ring,12,0.5,2,7,36,periodic,6,0.8,-3.4333333333333336,67.11478759836153,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8451640525020286,0.7927031422273473,0.05246091027468136,0.9089284771263465,0.8592810913951379,0.04964738573120864
ring,12,0.5,3,7,36,periodic,6,0.8,-0.9333333333333336,62.18008292598146,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8710486439165351,0.8584069787938057,0.012641665122729462,0.9444495519264356,0.925878021283957,0.01857153064247863
ring,12,0.65,1,7,48,periodic,6,0.8,-3.7666666666666666,86.93610918103585,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8125927919446388,0.7592846340551961,0.053308157889442764,0.8663787171281525,0.8092433990671191,0.05713531806103345
ring,12,0.65,2,7,48,periodic,6,0.8,-1.6333333333333333,89.48511692562525,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7351783147106885,0.7488577341181917,-0.013679419407503168,0.7780645544552838,0.7900801954077047,-0.012015640952420914
ring,12,0.65,3,7,48,periodic,6,0.8,1.4000000000000004,85.01125431515699,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.7938081948625906,0.8045837258297361,-0.010775530967145563,0.8538365166890929,0.8564043287825917,-0.002567812093498767
ring,14,0.2,1,7,28,periodic,6,0.8,-2.2,55.576155358353674,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8333465679476272,0.799336653534009,0.034009914413618225,0.9218122107596555,0.8874014312399267,0.03441077951972882
ring,14,0.2,2,7,28,periodic,6,0.8,3.5,59.230434083717086,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.865639709734327,0.7798095558483458,0.08583015388598125,0.9446559003993686,0.8951743006160557,0.0494815997833129
ring,14,0.2,3,7,28,periodic,6,0.8,-3.833333333333333,55.665516116137866,2000.0,28,250,2,0.25,0.4,0.6,0.1,0.8135225724444134,0.7939353586759186,0.019587213768494816,0.8738550851409272,0.9055046530101253,-0.031649567869198036
